Reservation_PK,ClientID_FK,Hotel_FK,Flight_FK,Localisation_FK,Temps_FK,Total_Prix,Status_Reservation,Méthode_Paiement,Note_Client
12616,2017982,0,133,0,1257,5005,4399999999996,0,Virement bancaire,5
12617,2017983,0,157,0,429,504,35000000000002,0,Virement bancaire,5
12618,2017984,0,159,0,1135,1814,9300000000001,-1,Carte bancaire,4
12619,2017985,0,157,0,656,6397,9399999999996,0,Virement bancaire,1
12620,2017986,0,157,0,836,6712,9799999999996,0,Espèces,2
12621,2017987,0,43,0,1306,3319,8400000000001,0,Virement bancaire,5
12622,2017988,0,176,0,737,3360,5500000000002,-1,Carte bancaire,4
12623,2017989,0,155,0,25,4727,8500000000004,-1,PayPal,4
12624,2017990,0,157,0,978,6281,6700000000001,-1,PayPal,5
12625,2017991,0,133,0,1556,5330,9300000000003,1,PayPal,3
12626,2017992,0,133,0,808,1155,21,0,Espèces,1
12627,2017993,0,154,0,1344,637,47000000000003,-1,Espèces,2
12628,2017994,0,155,0,38,1133,5,-1,Carte bancaire,2
12629,2017995,0,0,0,1508,2774,3499999999999,0,Espèces,3
12630,2017996,0,176,0,1764,6030,7600000000002,0,PayPal,2
12631,2017997,0,157,0,1684,6877,3000000000002,0,Carte bancaire,3
12632,2017998,0,157,0,1641,1950,45,-1,Virement bancaire,5
12633,2017999,0,154,0,1660,1874,52,1,Virement bancaire,4
12634,2018000,0,154,0,748,1771,0699999999999,-1,Espèces,2
12635,2018001,0,155,0,1217,2708,8699999999999,0,Espèces,3
12636,2018002,0,157,0,1680,5367,0900000000001,1,Carte bancaire,5
12637,2018003,0,0,0,240,6542,1400000000003,0,Virement bancaire,2
12638,2018004,0,43,0,1151,7417,6199999999999,1,Carte bancaire,4
12639,2018005,0,176,0,474,7023,0900000000001,0,Carte bancaire,2
12640,2018006,0,157,0,252,1642,3800000000001,0,Carte bancaire,5
12641,2018007,0,157,0,552,2067,1900000000001,1,PayPal,5
12642,2018008,0,158,0,568,5064,0600000000004,-1,Carte bancaire,3
12643,2018009,0,133,0,1658,4262,9899999999998,1,Espèces,2
12644,2018010,0,157,0,1506,7444,5900000000001,-1,Carte bancaire,2
12645,2018011,0,157,0,220,5030,6000000000004,1,PayPal,5
12646,2018012,0,0,0,670,5854,6800000000003,-1,Virement bancaire,3
12647,2018013,0,158,0,76,5185,4099999999999,1,Espèces,2
12648,2018014,0,0,0,1711,6316,5299999999997,0,PayPal,2
12649,2018015,0,133,0,1579,4152,1400000000003,-1,Carte bancaire,2
12650,2018016,0,158,0,1783,6832,1899999999996,1,Espèces,1
12651,2018017,0,154,0,592,2093,1399999999999,-1,Virement bancaire,5
12652,2018018,0,176,0,478,680,71000000000004,-1,Virement bancaire,2
12653,2018019,0,159,0,1081,6738,0200000000004,-1,Virement bancaire,3
12654,2018020,0,133,0,749,4879,8199999999997,0,Espèces,4
12655,2018021,0,163,0,1781,1092,99,-1,PayPal,4
12656,2018022,0,159,0,481,1386,3099999999999,1,Carte bancaire,4
12657,2018023,0,176,0,506,2355,8200000000002,-1,Espèces,5
12658,2018024,0,176,0,379,1881,75,0,Virement bancaire,3
12659,2018025,0,43,0,1565,4005,6900000000001,0,Carte bancaire,5
12660,2018026,0,0,0,252,735,57000000000005,1,Virement bancaire,3
12661,2018027,0,43,0,1289,5072,7399999999998,-1,PayPal,3
12662,2018028,0,133,0,1608,1007,65,-1,Espèces,1
12663,2018029,0,157,0,1555,2824,1999999999998,1,PayPal,2
12664,2018030,0,157,0,591,1750,27,0,Virement bancaire,4
12665,2018031,0,158,0,1624,5167,0699999999997,1,Espèces,1
12666,2018032,0,176,0,16,719,54999999999995,1,Espèces,4
12667,2018033,0,159,0,868,4527,8000000000002,1,Espèces,3
12668,2018034,0,163,0,1005,5660,4799999999996,0,Carte bancaire,5
12669,2018035,0,154,0,795,963,69000000000005,0,PayPal,3
12670,2018036,0,43,0,254,2821,9099999999999,-1,PayPal,1
12671,2018037,0,133,0,1802,1719,01,1,Espèces,3
12672,2018038,0,133,0,957,1856,1300000000001,1,Carte bancaire,4
12673,2018039,0,155,0,838,3464,1599999999999,0,PayPal,5
12674,2018040,0,158,0,122,6099,2299999999996,1,Espèces,2
12675,2018041,0,158,0,627,3152,5300000000002,-1,Espèces,4
12676,2018042,0,158,0,835,1091,79,-1,Carte bancaire,2
12677,2018043,0,157,0,1398,5416,75,1,Virement bancaire,4
12678,2018044,0,154,0,792,4322,2700000000004,1,Virement bancaire,3
12679,2018045,0,0,0,129,1486,02,0,Virement bancaire,1
12680,2018046,0,155,0,571,2061,8499999999999,0,Carte bancaire,1
12681,2018047,0,159,0,1547,5263,0200000000004,1,PayPal,4
12682,2018048,0,158,0,1477,7442,2799999999997,1,Virement bancaire,1
12683,2018049,0,133,0,861,6540,0600000000004,-1,Virement bancaire,2
12684,2018050,0,155,0,41,5949,3900000000003,0,PayPal,5
12685,2018051,0,159,0,1482,6950,0100000000002,0,Espèces,3
12686,2018052,0,163,0,161,935,99000000000001,-1,PayPal,4
12687,2018053,0,159,0,1523,6551,8400000000001,-1,Carte bancaire,2
12688,2018054,0,155,0,1620,1429,3800000000001,-1,PayPal,1
12689,2018055,0,154,0,261,1454,8,-1,Carte bancaire,2
12690,2018056,0,158,0,76,1319,0999999999999,0,Carte bancaire,4
12691,2018057,0,43,0,1100,1365,28,1,Virement bancaire,4
12692,2018058,0,133,0,16,5902,5299999999997,0,Carte bancaire,2
12693,2018059,0,133,0,1610,5918,3400000000001,1,Espèces,2
12694,2018060,0,158,0,111,3363,1,Virement bancaire,1
12695,2018061,0,155,0,721,3326,9699999999998,1,Virement bancaire,4
12696,2018062,0,154,0,654,2332,9499999999998,1,Espèces,2
12697,2018063,0,0,0,514,6064,8400000000001,-1,Virement bancaire,1
12698,2018064,0,0,0,97,6191,9899999999998,1,Espèces,2
12699,2018065,0,154,0,218,5471,2700000000004,-1,Espèces,2
12700,2018066,0,158,0,72,5872,0699999999997,-1,PayPal,1
12701,2018067,0,43,0,609,767,66999999999996,1,Espèces,4
12702,2018068,0,158,0,802,699,11000000000001,-1,Carte bancaire,1
12703,2018069,0,0,0,1230,2013,6600000000001,-1,Virement bancaire,1
12704,2018070,0,159,0,1019,7321,1000000000004,0,Virement bancaire,2
12705,2018071,0,154,0,726,6769,8100000000004,-1,PayPal,2
12706,2018072,0,0,0,638,2454,1199999999999,0,PayPal,4
12707,2018073,0,155,0,628,6845,96,0,Virement bancaire,2
12708,2018074,0,159,0,254,883,34000000000003,-1,Espèces,1
12709,2018075,0,158,0,1522,3605,3000000000002,1,PayPal,4
12710,2018076,0,155,0,416,2503,52,1,Virement bancaire,2
12711,2018077,0,159,0,1534,2486,8600000000001,1,Espèces,1
12712,2018078,0,154,0,966,4221,5600000000004,1,Espèces,2
12713,2018079,0,0,0,814,3084,6100000000001,1,PayPal,1
12714,2018080,0,155,0,853,172,83000000000001,1,Carte bancaire,5
12715,2018081,0,155,0,1599,428,38999999999999,1,Carte bancaire,5
12716,2018082,0,0,0,612,4817,2700000000004,-1,Espèces,1
12717,2018083,0,176,0,1631,1162,55,-1,Carte bancaire,4
12718,2018084,0,43,0,508,7179,8599999999997,1,Carte bancaire,2
12719,2018085,0,133,0,1803,3697,7199999999998,0,Carte bancaire,1
12720,2018086,0,159,0,352,6820,0900000000001,-1,Carte bancaire,4
12721,2018087,0,157,0,1367,134,63999999999999,-1,PayPal,2
12722,2018088,0,43,0,1325,4117,1099999999997,1,Virement bancaire,4
12723,2018089,0,159,0,38,951,59000000000003,-1,Carte bancaire,4
12724,2018090,0,158,0,204,3052,71,-1,Virement bancaire,1
12725,2018091,0,0,0,677,4007,9400000000001,-1,Virement bancaire,5
12726,2018092,0,43,0,728,1058,0599999999999,0,PayPal,4
12727,2018093,0,158,0,1010,2665,4299999999998,0,Espèces,1
12728,2018094,0,157,0,1185,4192,2299999999996,0,Espèces,1
12729,2018095,0,155,0,216,470,79000000000002,-1,Carte bancaire,4
12730,2018096,0,0,0,455,2770,9099999999999,0,Carte bancaire,2
12731,2018097,0,176,0,1237,1341,4000000000001,-1,PayPal,4
12732,2018098,0,163,0,942,5418,8999999999996,-1,Virement bancaire,4
12733,2018099,0,43,0,1733,2347,6500000000001,1,Virement bancaire,2
12734,2018100,0,176,0,847,2487,7399999999998,0,Espèces,4
12735,2018101,0,163,0,1238,1099,1199999999999,0,Virement bancaire,3
12736,2018102,0,157,0,308,3858,0999999999999,0,Carte bancaire,2
12737,2018103,0,158,0,1109,7027,2700000000004,1,Espèces,4
12738,2018104,0,157,0,1490,7106,1400000000003,-1,Espèces,2
12739,2018105,0,43,0,908,2834,8800000000001,1,Espèces,4
12740,2018106,0,158,0,1450,2889,9099999999999,1,PayPal,4
12741,2018107,0,159,0,1013,954,55999999999995,1,PayPal,5
12742,2018108,0,43,0,918,6048,4300000000003,0,Virement bancaire,3
12743,2018109,0,176,0,1471,1216,1099999999999,1,Virement bancaire,4
12744,2018110,0,163,0,1203,1687,97,0,Carte bancaire,3
12745,2018111,0,43,0,115,258,38,-1,PayPal,2
12746,2018112,0,155,0,1278,3998,9299999999998,0,PayPal,4
12747,2018113,0,155,0,1565,6292,04,0,Espèces,2
12748,2018114,0,176,0,739,5253,25,1,Espèces,4
12749,2018115,0,157,0,31,5176,21,1,Espèces,5
12750,2018116,0,0,0,972,422,06,-1,Espèces,1
12751,2018117,0,43,0,28,6827,2799999999997,1,PayPal,3
12752,2018118,0,43,0,595,2199,6399999999999,1,PayPal,2
12753,2018119,0,154,0,1635,7285,6499999999996,-1,PayPal,3
12754,2018120,0,163,0,1593,2881,3099999999999,0,Virement bancaire,4
12755,2018121,0,159,0,1389,5178,6300000000001,0,PayPal,1
12756,2018122,0,163,0,1364,836,25,0,Carte bancaire,4
12757,2018123,0,176,0,640,6447,1899999999996,1,Carte bancaire,2
12758,2018124,0,158,0,853,2108,7800000000002,1,Espèces,5
12759,2018125,0,0,0,1309,5178,4300000000003,1,Virement bancaire,5
12760,2018126,0,43,0,1682,5993,25,1,Virement bancaire,2
12761,2018127,0,154,0,270,5393,4300000000003,1,Virement bancaire,2
12762,2018128,0,154,0,1407,5584,4700000000003,-1,Carte bancaire,2
12763,2018129,0,163,0,1442,4153,4300000000003,-1,Espèces,2
12764,2018130,0,43,0,965,7124,0500000000002,0,Carte bancaire,2
12765,2018131,0,0,0,370,2287,5599999999999,-1,Carte bancaire,3
12766,2018132,0,158,0,329,7384,2299999999996,0,Carte bancaire,4
12767,2018133,0,163,0,1650,3965,8000000000002,1,Espèces,3
12768,2018134,0,133,0,228,1393,4400000000001,0,Carte bancaire,2
12769,2018135,0,133,0,863,5852,1899999999996,0,PayPal,1
12770,2018136,0,159,0,401,7326,6300000000001,-1,Carte bancaire,4
12771,2018137,0,158,0,26,2040,46,1,Espèces,5
12772,2018138,0,163,0,1478,5318,4499999999998,1,Espèces,3
12773,2018139,0,43,0,1457,4893,04,-1,Virement bancaire,4
12774,2018140,0,158,0,1470,388,50999999999999,-1,Virement bancaire,3
12775,2018141,0,158,0,194,4298,04,-1,Virement bancaire,4
12776,2018142,0,154,0,1736,699,40999999999997,1,Virement bancaire,2
12777,2018143,0,155,0,1492,4757,1199999999999,0,Espèces,3
12778,2018144,0,176,0,32,2775,3899999999999,0,Espèces,3
12779,2018145,0,155,0,411,6121,21,-1,Espèces,5
12780,2018146,0,159,0,1397,770,20000000000005,0,Espèces,1
12781,2018147,0,176,0,858,3938,5999999999999,0,Espèces,2
12782,2018148,0,0,0,886,315,0,PayPal,3
12783,2018149,0,158,0,564,5100,5100000000002,0,Carte bancaire,4
12784,2018150,0,176,0,1213,1782,9400000000001,1,Virement bancaire,5
12785,2018151,0,155,0,629,7170,29,1,Espèces,5
12786,2018152,0,163,0,81,551,13999999999999,-1,Virement bancaire,4
12787,2018153,0,155,0,1130,787,11000000000001,1,PayPal,5
12788,2018154,0,133,0,764,1488,3399999999999,0,PayPal,2
12789,2018155,0,158,0,1090,4614,6300000000001,-1,PayPal,5
12790,2018156,0,43,0,1187,7401,79,1,Espèces,4
12791,2018157,0,157,0,1720,547,75999999999999,-1,PayPal,4
12792,2018158,0,176,0,347,6722,54,0,Carte bancaire,2
12793,2018159,0,155,0,1568,320,69999999999999,-1,Virement bancaire,5
12794,2018160,0,0,0,234,473,43000000000001,-1,Espèces,5
12795,2018161,0,0,0,1756,6057,1400000000003,-1,PayPal,3
12796,2018162,0,43,0,304,777,90999999999997,0,Virement bancaire,3
12797,2018163,0,155,0,939,5551,9399999999996,1,Espèces,2
12798,2018164,0,158,0,483,4774,75,-1,Virement bancaire,1
12799,2018165,0,157,0,462,6127,1199999999999,0,Espèces,5
12800,2018166,0,155,0,70,7264,6700000000001,-1,Carte bancaire,4
12801,2018167,0,157,0,417,6124,5900000000001,1,PayPal,1
12802,2018168,0,163,0,285,2258,0900000000001,1,PayPal,4
12803,2018169,0,158,0,1148,1777,3800000000001,0,Espèces,3
12804,2018170,0,155,0,451,1785,5799999999999,-1,Virement bancaire,1
12805,2018171,0,157,0,862,5340,0600000000004,-1,Carte bancaire,2
12806,2018172,0,158,0,177,6709,6999999999998,1,Carte bancaire,4
12807,2018173,0,157,0,603,5670,96,1,Carte bancaire,1
12808,2018174,0,157,0,1597,3829,8899999999999,1,Carte bancaire,2
12809,2018175,0,154,0,318,1494,51,0,PayPal,4
12810,2018176,0,159,0,258,6691,3500000000004,0,Carte bancaire,2
12811,2018177,0,163,0,1241,1076,77,-1,PayPal,3
12812,2018178,0,133,0,1389,6711,4300000000003,-1,PayPal,3
12813,2018179,0,176,0,1623,2816,8099999999999,0,PayPal,4
12814,2018180,0,43,0,873,3998,71,0,Espèces,5
12815,2018181,0,43,0,1521,5340,1899999999996,1,PayPal,4
12816,2018182,0,159,0,1458,1040,51,-1,PayPal,3
12817,2018183,0,154,0,1103,3601,3499999999999,0,PayPal,4
12818,2018184,0,158,0,1093,6396,9700000000003,-1,Espèces,1
12819,2018185,0,133,0,754,400,52999999999997,0,PayPal,5
12820,2018186,0,176,0,1293,3288,3499999999999,1,Espèces,2
12821,2018187,0,176,0,681,6081,4799999999996,0,Espèces,1
12822,2018188,0,157,0,298,4326,4899999999998,0,Virement bancaire,5
12823,2018189,0,0,0,1253,3810,3699999999999,-1,Virement bancaire,3
12824,2018190,0,157,0,1074,6578,4799999999996,0,PayPal,1
12825,2018191,0,158,0,836,6966,0900000000001,-1,Virement bancaire,1
12826,2018192,0,43,0,1823,7366,54,-1,Carte bancaire,4
12827,2018193,0,159,0,795,2491,8299999999999,0,PayPal,3
12828,2018194,0,43,0,1279,3562,4699999999998,-1,Virement bancaire,4
12829,2018195,0,158,0,1498,6000,1899999999996,0,Espèces,5
12830,2018196,0,163,0,1769,1779,8499999999999,-1,Carte bancaire,4
12831,2018197,0,159,0,154,2993,54,-1,Carte bancaire,1
12832,2018198,0,163,0,940,2062,9200000000001,0,PayPal,1
12833,2018199,0,158,0,522,6438,0100000000002,-1,Virement bancaire,3
12834,2018200,0,154,0,904,463,04000000000002,1,Virement bancaire,5
12835,2018201,0,0,0,1087,4730,8000000000002,1,Espèces,5
12836,2018202,0,0,0,77,1562,78,1,Virement bancaire,3
12837,2018203,0,158,0,237,1804,52,1,Carte bancaire,2
12838,2018204,0,157,0,1615,2782,75,-1,Carte bancaire,5
12839,2018205,0,157,0,724,3926,52,-1,Virement bancaire,4
12840,2018206,0,155,0,1672,242,63,-1,Virement bancaire,2
12841,2018207,0,155,0,1406,4860,3599999999997,0,Carte bancaire,1
12842,2018208,0,157,0,1405,2940,0900000000001,-1,Virement bancaire,4
12843,2018209,0,43,0,465,4172,6999999999998,-1,Virement bancaire,3
12844,2018210,0,155,0,1652,2357,77,0,Espèces,1
12845,2018211,0,43,0,226,2417,1300000000001,0,Virement bancaire,3
12846,2018212,0,43,0,202,6296,6599999999999,1,PayPal,5
12847,2018213,0,157,0,1411,1973,8900000000001,0,PayPal,1
12848,2018214,0,176,0,627,1268,0599999999999,-1,Virement bancaire,3
12849,2018215,0,176,0,1512,7186,21,-1,PayPal,5
12850,2018216,0,159,0,869,3055,96,1,PayPal,2
12851,2018217,0,43,0,1229,5018,5699999999997,1,Carte bancaire,4
12852,2018218,0,157,0,461,5228,4200000000001,0,PayPal,1
12853,2018219,0,155,0,1004,3813,3499999999999,-1,Espèces,1
12854,2018220,0,155,0,1336,6057,5200000000004,0,Carte bancaire,3
12855,2018221,0,158,0,417,1230,01,0,Virement bancaire,5
12856,2018222,0,43,0,1606,1781,04,1,PayPal,3
12857,2018223,0,133,0,72,7365,9099999999999,0,Espèces,4
12858,2018224,0,154,0,1371,1696,6099999999999,1,PayPal,1
12859,2018225,0,176,0,1112,2421,6300000000001,1,Virement bancaire,5
12860,2018226,0,43,0,1098,5078,1400000000003,-1,Virement bancaire,1
12861,2018227,0,155,0,1382,7067,7299999999996,1,PayPal,1
12862,2018228,0,0,0,1048,4759,9799999999996,0,Virement bancaire,4
12863,2018229,0,163,0,666,1359,1900000000001,-1,Carte bancaire,5
12864,2018230,0,155,0,841,1318,8,0,Espèces,5
12865,2018231,0,154,0,37,5925,3000000000002,-1,Carte bancaire,4
12866,2018232,0,176,0,461,7194,7799999999997,0,Carte bancaire,3
12867,2018233,0,133,0,1227,6804,2700000000004,0,Espèces,4
12868,2018234,0,0,0,1294,4943,7799999999997,0,PayPal,1
12869,2018235,0,158,0,965,1901,3399999999999,-1,Carte bancaire,2
12870,2018236,0,163,0,884,6281,8999999999996,1,PayPal,4
12871,2018237,0,0,0,306,3279,4699999999998,1,Virement bancaire,4
12872,2018238,0,43,0,1421,5815,0,Espèces,1
12873,2018239,0,133,0,293,4910,4799999999996,0,Carte bancaire,4
12874,2018240,0,158,0,1302,307,14999999999998,1,PayPal,3
12875,2018241,0,157,0,1330,223,16,1,Virement bancaire,1
12876,2018242,0,0,0,965,5235,46,1,Virement bancaire,1
12877,2018243,0,163,0,105,1873,54,0,Virement bancaire,4
12878,2018244,0,158,0,715,946,90999999999997,1,Virement bancaire,1
12879,2018245,0,43,0,1062,3730,0100000000002,0,Espèces,5
12880,2018246,0,163,0,10,6067,3400000000001,0,Carte bancaire,3
12881,2018247,0,157,0,1712,2494,3899999999999,-1,Carte bancaire,1
12882,2018248,0,176,0,1201,4397,2700000000004,-1,Virement bancaire,4
12883,2018249,0,163,0,950,7241,5100000000002,0,Virement bancaire,2
12884,2018250,0,43,0,294,2406,3000000000002,0,Virement bancaire,2
12885,2018251,0,159,0,1252,4511,1199999999999,-1,Espèces,5
12886,2018252,0,133,0,1173,6155,5100000000002,0,Virement bancaire,4
12887,2018253,0,176,0,776,5128,04,-1,PayPal,1
12888,2018254,0,159,0,590,6403,6000000000004,1,Carte bancaire,2
12889,2018255,0,154,0,32,1528,52,-1,Virement bancaire,2
12890,2018256,0,158,0,1786,1505,96,0,Carte bancaire,3
12891,2018257,0,43,0,1211,6854,3199999999997,0,PayPal,1
12892,2018258,0,159,0,897,5897,3999999999996,1,Virement bancaire,1
12893,2018259,0,155,0,1773,1412,48,1,Carte bancaire,3
12894,2018260,0,176,0,403,3908,0500000000002,0,Carte bancaire,1
12895,2018261,0,163,0,1017,7365,6099999999997,-1,Virement bancaire,1
12896,2018262,0,43,0,311,452,57999999999998,0,Virement bancaire,5
12897,2018263,0,158,0,236,5564,0600000000004,1,Carte bancaire,3
12898,2018264,0,0,0,420,6990,1700000000001,-1,Virement bancaire,2
12899,2018265,0,0,0,1034,5421,8599999999997,-1,Espèces,5
12900,2018266,0,163,0,198,7171,7600000000002,1,Espèces,2
12901,2018267,0,133,0,954,4547,9700000000003,-1,Espèces,1
